사업부구분,대분류,중분류,소분류,2024년 연간,24년1월,24년2월,24년3월,24년4월,24년5월,24년6월,24년7월,24년8월,24년9월,24년10월,24년11월,24년12월
MLB,인건비,기본급,경영지원,22368517,1700720,1751566,1934007,1961754,1929514,1994797,1874622,1833367,1829848,1842283,1849236,1866803
MLB,인건비,기본급,MLB,36845813,2774422,2789077,2918264,3010236,3140706,2928332,3179151,3320018,3170190,3330581,3120954,3163882
KIDS,인건비,기본급,KIDS,5966590,436512,453593,382399,487608,402798,401624,424439,521295,570962,750478,559627,575255
DISCOVERY,인건비,기본급,DISCOVERY,1892827,,,,,,,,256561,286061,317928,510232,522045
DUVETICA,인건비,기본급,DUVETICA,2454695,301672,353212,369491,360629,355962,357767,355962,,,,,
SUPRA,인건비,기본급,SUPRA,1743102,163073,190128,148071,147398,148071,140042,167571,160118,160118,127334,109394,81784
MLB,인건비,성과급충당금,경영지원,8848658,712879,549359,1015498,597527,742606,1132462,649507,677116,672396,752918,706401,639989
MLB,인건비,성과급충당금,MLB,10844016,1019110,897106,778458,999328,999206,892089,941079,859556,949318,793961,913758,801047
KIDS,인건비,성과급충당금,KIDS,1341681,127108,121431,193484,134689,145973,127092,58273,85678,90768,67124,96371,93690
DISCOVERY,인건비,성과급충당금,DISCOVERY,219632,,,,,,,,58789,7646,17794,67524,67879
DUVETICA,인건비,성과급충당금,DUVETICA,599693,64689,54689,108639,112644,105210,83743,72997,-7147,-3208,-1110,2577,5970
SUPRA,인건비,성과급충당금,SUPRA,638660,86066,65817,55451,55367,62868,52204,52834,45301,8145,50804,72261,31542
MLB,인건비,성과급충당금,경영지원,8847294,,,8847294,,,,,,,,,
MLB,인건비,성과급충당금,MLB,13218040,,,13218040,,,,,,,,,
KIDS,인건비,성과급충당금,KIDS,1822301,,,1822301,,,,,,,,,
DISCOVERY,인건비,성과급충당금,DISCOVERY,0,,,,,,,,,,,,
DUVETICA,인건비,성과급충당금,DUVETICA,1251721,,,1251721,,,,,,,,,
SUPRA,인건비,성과급충당금,SUPRA,806553,,,806553,,,,,,,,,
MLB,인건비,성과급충당금,MLB,-27287878,,,-27287878,,,,,,,,,
MLB,인건비,Red pack,경영지원,1477396,0,1477396,0,,,,,,,,,
MLB,인건비,Red pack,MLB,2216927,,2216927,,,,,,,,,,
KIDS,인건비,Red pack,KIDS,301316,,301316,,,,,,,,,,
DISCOVERY,인건비,Red pack,DISCOVERY,0,,,,,,,,,,,,
DUVETICA,인건비,Red pack,DUVETICA,205002,,205002,,,,,,,,,,
SUPRA,인건비,Red pack,SUPRA,77681,,77681,,,,,,,,,,
MLB,인건비,잡급,MLB,441320,33441,36433,40000,36629,36567,36686,34740,38239,36408,40022,37710,34445
MLB,복리후생비,5대보험,경영지원,4007423,321524,323818,339328,301213,302546,316055,308664,397048,350782,350782,348730,346933
MLB,복리후생비,5대보험,MLB,7758839,641921,618422,603009,572615,590071,571435,572785,767728,710127,720314,696162,694250
KIDS,복리후생비,5대보험,KIDS,1246483,93141,93141,88860,84101,88678,89660,80037,126265,123812,118180,127161,133447
DISCOVERY,복리후생비,5대보험,DISCOVERY,376947,,,,,,,,44756,54230,58207,108553,111201
DUVETICA,복리후생비,5대보험,DUVETICA,513233,73352,73352,77870,69217,72740,72535,72127,2040,0,,,
SUPRA,복리후생비,5대보험,SUPRA,411682,41791,47678,37819,34992,37010,35989,41428,31866,29380,29380,27948,16401
MLB,복리후생비,공적금,경영지원,1814627,143266,143266,147862,141920,139877,144977,139488,181279,158863,158863,157903,157063
MLB,복리후생비,공적금,MLB,3607319,291502,278667,268514,278714,274666,265983,265333,361253,332086,336849,325556,328196
KIDS,복리후생비,공적금,KIDS,572726,41735,41735,39815,40691,38510,39590,37250,59009,57739,55104,59304,62244
DISCOVERY,복리후생비,공적금,DISCOVERY,176274,,,,,,,,20930,25360,27220,50763,52001
DUVETICA,복리후생비,공적금,DUVETICA,236210,32897,32897,34923,33603,33603,33603,33603,1081,0,,,
SUPRA,복리후생비,공적금,SUPRA,190465,18742,21382,16961,16961,16961,16961,19301,14976,13740,13740,13070,7670
공통,복리후생비,송년회,송년회-사무실,1548376,1602000,-53624,0,0,0,0,0,0,0,0,0,0
공통,복리후생비,송년회,송년회-매장,404124,0,404124,0,0,0,0,0,0,0,0,0,0
공통,복리후생비,팀빌딩,팀빌딩-부서,262502,21061,0,6340,15540,30175,12060,11867,24443,32069,1865,0,107082
공통,복리후생비,팀빌딩,팀빌딩-사무실,73440,0,0,0,0,0,0,73440,0,0,0,0,0
공통,복리후생비,식대,간식,697879,47436,71102,47795,66869,72391,55783,59192,58725,61373,51465,44138,61610
공통,복리후생비,식대,야근식대,105192,5896,5613,4516,10844,5499,4840,7697,6473,5395,7309,7337,33773
공통,복리후생비,식대,교육식대,18439,0,0,320,2763,0,0,2062,640,4728,1358,3482,3086
공통,복리후생비,식대,임원식대,155491,21022,4716,5204,5961,2282,0,1363,638,12362,11768,1224,88951
공통,복리후생비,건강검진,,477596,0,0,0,0,0,0,0,0,0,0,0,477596
공통,복리후생비,보험비,,681362,0,0,0,0,277912,253567,0,0,0,0,0,149883
공통,복리후생비,생일&명절,,983607,228104,56285,91437,-21728,6400,94550,6697,7365,138897,144154,146564,84882
공통,복리후생비,인력 지인추천(사무실/매장직원),,16000,0,0,0,16000,0,0,0,0,0,0,0,0
공통,복리후생비,장애인고용 미달비용,,16457,0,0,0,0,0,0,0,0,16457,0,0,0
공통,복리후생비,"장기근속(여행티켓,숙박비)",,464000,0,0,157000,0,0,158000,0,0,158000,-2000,0,-7000
공통,복리후생비,워크샵,,320736,0,0,0,0,0,0,0,0,0,83020,235902,1814
공통,복리후생비,주재원지원금,항공권,244342,1821,0,22345,65828,4641,13648,19605,16382,11483,63818,0,24771
공통,복리후생비,주재원지원금,자녀교육비,1350776,97997,76210,87102,107593,98367,71417,67057,186270,152517,116240,145003,145003
공통,복리후생비,주재원지원금,주택임차료 (관리비포함),2217301,164853,153969,177462,185467,184300,198800,215827,201397,192000,185226,179000,179000
공통,복리후생비,주재원지원금,"전기,수도,통신비 등",129505,10462,21089,9354,11168,7110,12944,5133,12366,6694,12953,3748,16484
공통,복리후생비,주재원지원금,자기개발비(훈련비),162703,9556,28200,14263,21524,14800,3000,19343,0,0,19000,8000,25017
공통,복리후생비,주재원지원금,건강검진&보험,213964,0,0,0,0,23875,512,146807,19114,26868,1834,-5046,0
