사업부구분,대분류,중분류,소분류,2025년연간,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
MLB,인건비,기본급,경영지원,23793305.88,2083360,1808595,2110499,2052533,1958916,1963329,1981831,2515338,1820817,1844921,2161296.51,2017108
MLB,인건비,기본급,MLB,41837867.12,3249837,3035737,3386280,3340918,3257955,3240405,3290277,3209939,3220771,3358757,2994398.47,3114037.9
KIDS,인건비,기본급,KIDS,7150134,624757,577307,597635,665465,688453,642243,635780,656719,585749,617475,584668.9,594874.88
DISCOVERY,인건비,기본급,DISCOVERY,9775704,643951,639200,691416,867480,605388,573207,730916,863043,817705,852547,805947.16,977569.49
MLB,인건비,성과급충당금,경영지원,7508485.122,773303,679380,564197,558895,551953,565818,594790,546698,506752,680654,610831.22,237728.76
MLB,인건비,성과급충당금,MLB,12401367,1108642,1038121,918849,942027,888006,942131,931257,827608,918832,777488,864837,884690
KIDS,인건비,성과급충당금,KIDS,1720609,110021,204305,157126,176491,125156,167972,191630,170463,173551,138294,167678.26,164586.74
DISCOVERY,인건비,성과급충당금,DISCOVERY,2839400,209505,210929,182511,185946,159310,159697,189622,213381,157941,248970,250766.26,181801.1
MLB,인건비,성과급충당금,경영지원,8068388.848,,,6247705,255000,,,,,,,,
MLB,인건비,성과급충당금,MLB,11963772,,,9264070,,,,,,,,,
KIDS,인건비,성과급충당금,KIDS,1484723.383,,,1149686,,,,,,,,,
DISCOVERY,인건비,성과급충당금,DISCOVERY,1385121.6,,,1072560,,,,,,,,,
MLB,인건비,성과급충당금,경영지원,-22902006,,,-8757071,,,,,,,,,
MLB,인건비,성과급충당금,MLB,,,,-12773890,,,,,,,,,
KIDS,인건비,성과급충당금,KIDS,,,,-1162755,,,,,,,,,
DISCOVERY,인건비,성과급충당금,DISCOVERY,,,,-208291,,,,,,,,,
MLB,인건비,Red pack,경영지원,1650177,1650177,0,0,,,,,,,,,
MLB,인건비,Red pack,MLB,2842097,2842097,0,0,,,,,,,,,
KIDS,인건비,Red pack,KIDS,409298,409298,0,0,,,,,,,,,
DISCOVERY,인건비,Red pack,DISCOVERY,396787.01,396787,0,0,,,,,,,,,
MLB,인건비,잡급,MLB,517793.64,42626,45168,37410,39951,40518,41097,49456,47740,46576,47927,49169.19,40300.75
MLB,복리후생비,5대보험,경영지원,4441499.904,350547,347710,344469,331523,358982,346576,338617,445459,521502,503387,503387,503387
MLB,복리후생비,5대보험,MLB,8940808,709414,683612,705502,713012,687822,671144,676426,866682,676426,676426,684679.25,673685.41
KIDS,복리후생비,5대보험,KIDS,1608574,125229,133619,142718,143997,141311,153974,140574,146317,143753,146867,141598.4,141598.4
DISCOVERY,복리후생비,5대보험,DISCOVERY,2128518,125509,159290,148768,159542,121906,128331,141593,205141,170249,167530,183849.52,194335.63
MLB,복리후생비,공적금,경영지원,1899127.326,174503,156411,142101,154724,161665,155872,159731,209283,133203,143274,143274,143274
MLB,복리후생비,공적금,MLB,4355012,315236,332916,345925,332916,321156,317248,315833,401889,401889,401889,405959,400653
KIDS,복리후생비,공적금,KIDS,759217,68440,58310,62740,62385,65925,67149,61358,75994,67108,68572,66112,66112
DISCOVERY,복리후생비,공적금,DISCOVERY,1008330,77012,65081,69461,73301,56920,58730,64922,82754,79496,78224,85844,90740
공통,복리후생비,송년회,송년회-사무실,1506062,1512264,-6202,0,,,,,,,,,
공통,복리후생비,송년회,송년회-매장,391239,0,391239,0,,,,,,,,,
공통,복리후생비,팀빌딩,팀빌딩-부서,277231,328,3493,6460,8103,12336,15232,19437,5240,16427,19463,21626.44,150903.12
공통,복리후생비,팀빌딩,팀빌딩-사무실,150000,0,0,,,,,,,,,73199,
공통,복리후생비,식대,간식,777306,51944,41971,44009,49807,46402,41307,48939,39361,49957,54701,58826.64,60727.76
공통,복리후생비,식대,야근식대,110209,9841,10386,11663,8704,7075,8605,9991,6071,10561,8309,12137.37,9510
공통,복리후생비,식대,교육식대,37080,0,1800,414,,,,,7068,960,,998,
공통,복리후생비,식대,외근식대,,,,,,,,,,,,,5000
공통,복리후생비,식대,임원식대,171744,20981,15433,17691,1928,23904,15844,8931,11576,33749,8206,24767.36,23318.5
공통,복리후생비,건강검진,,394681,0,0,,,,-157319,,,,,,465370
공통,복리후생비,보험비,,766029,0,0,,,581329,,,,,,,
공통,복리후생비,생일&명절,,909526,92074,77161,31646,29500,127035,17684,16672,62915,158309,3000,39772.6,143755.37
공통,복리후생비,인력 지인추천(사무실/매장직원),,20000,0,0,,23500,,,,,,,,
공통,복리후생비,장애인고용 미달비용,,63847,0,0,,,,,,,,54438,,
공통,복리후생비,"장기근속(여행티켓,숙박비)",,497153,118576,-173,-4000,107442,-16053,-4000,122222,-6000,-9100,121250,-3629.05,-6010.7
공통,복리후생비,워크샵,,500400,0,0,,,248141,,,,,,,252164.86
공통,복리후생비,주재원지원금,항공권,467976.79,30852,49325,18256,24741,37273,74131,40680,39066,11572,24858,33931.42,77837.53
공통,복리후생비,주재원지원금,자녀교육비,1451415.166,148530,133458,137075,146215,134215,65051,42982,89529,147705,126367,146081.04,132938.18
공통,복리후생비,주재원지원금,주택임차료 (관리비포함),2443333.21,425357,182690,182690,182690,197690,204650,221590,228090,203662,198090,210090.47,223090.47
공통,복리후생비,주재원지원금,"전기,수도,통신비 등",142911.55,12840,14208,11698,18622,9998,167,6462,9940,12720,9518,8786.53,13612.15
공통,복리후생비,주재원지원금,자기개발비(훈련비),170000,10000,5000,3940,25000,8000,12000,15000,10333,14000,23000,5000,16940.85
공통,복리후생비,주재원지원금,건강검진&보험,278805.3441,0,2789,3493,25197,5426,1841,240628,8302,1796,-1603,-12926.65,-1831.59
공통,복리후생비,주재원지원금,비자&이사비용,115200,0,34000,9800,6849,1600,1660,20600,3300,0,0,7400,9903.2
MLB,광고비,APP,,47937291,275103,4396680,4526121,2734362,5279939,2809265,2031785,2813113,6117303,4000000,4023407.72,6020081.97
MLB,광고비,ACC,,43629103,10531833,3103320,3358107,2232149,1652298,0,-896046,5586066,11471000,2932436,2971305.77,7301997.4
MLB,광고비,Retailing,,10259855,106879,1106564,512170,706540,528164,2334212,83614,2419747,3563000,296349,184030.57,292115
MLB,광고비,Branding,,42199008,3345768,3155013,3711560,2727852,2239570,2432234,6063702,3867496,3056780,2961474,2507223.61,2074119.96
MLB,광고비,CRM ,,0,0,0,0,0,,0,0,0,0,0,0,0
MLB,광고비,Products,,3947006,-44368,206231,181811,38931,52111,42515,450593,411313,399503,182734,143347.44,201337.57
