사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
MLB,工资,Basic Salary,MLB,MLB,인건비,기본급,MLB,3484221.89,,,,,,,,,,,
MLB,工资,Basic Salary,supporting,MLB,인건비,기본급,경영지원,1954980.52,,,,,,,,,,,
KIDS,工资,Basic Salary,KIDS,KIDS,인건비,기본급,KIDS,535926.93,,,,,,,,,,,
DISCOVERY,工资,Basic Salary,DISCOVERY,DISCOVERY,인건비,기본급,DISCOVERY,947762.77,,,,,,,,,,,
MLB,工资,Bonus,MLB,MLB,인건비,성과급충당금,MLB,985757.45,,,,,,,,,,,
MLB,工资,Bonus,supporting,MLB,인건비,성과급충당금,경영지원,491250.33,,,,,,,,,,,
KIDS,工资,Bonus,KIDS,KIDS,인건비,성과급충당금,KIDS,111663.13,,,,,,,,,,,
DISCOVERY,工资,Bonus,DISCOVERY,DISCOVERY,인건비,성과급충당금,DISCOVERY,258715.68,,,,,,,,,,,
MLB,工资,Bonus,MLB,MLB,인건비,성과급충당금,MLB,,,,,,,,,,,,
MLB,工资,Bonus,supporting,MLB,인건비,성과급충당금,경영지원,,,,,,,,,,,,
KIDS,工资,Bonus,KIDS,KIDS,인건비,성과급충당금,KIDS,,,,,,,,,,,,
DISCOVERY,工资,Bonus,DISCOVERY,DISCOVERY,인건비,성과급충당금,DISCOVERY,,,,,,,,,,,,
MLB,工资,Red pack,MLB,MLB,인건비,Red pack,MLB,,,,,,,,,,,,
MLB,工资,Red pack,supporting,MLB,인건비,Red pack,경영지원,,,,,,,,,,,,
KIDS,工资,Red pack,KIDS,KIDS,인건비,Red pack,KIDS,,,,,,,,,,,,
DISCOVERY,工资,Red pack,DISCOVERY,DISCOVERY,인건비,Red pack,DISCOVERY,,,,,,,,,,,,
MLB,工资,"司机,清扫",MLB,MLB,인건비,잡급,MLB,22535.01,,,,,,,,,,,
MLB,福利费,5险,supporting,MLB,복리후생비,5대보험,경영지원,412921.46,,,,,,,,,,,
MLB,福利费,5险,MLB,MLB,복리후생비,5대보험,MLB,781368.55,,,,,,,,,,,
KIDS,福利费,5险,KIDS,KIDS,복리후생비,5대보험,KIDS,135609.79,,,,,,,,,,,
DISCOVERY,福利费,5险,DISCOVERY,DISCOVERY,복리후생비,5대보험,DISCOVERY,191508.63,,,,,,,,,,,
MLB,福利费,公积金,supporting,MLB,복리후생비,공적금,경영지원,187858,,,,,,,,,,,
MLB,福利费,公积金,MLB,MLB,복리후생비,공적금,MLB,364833,,,,,,,,,,,
KIDS,福利费,公积金,KIDS,KIDS,복리후생비,공적금,KIDS,63316,,,,,,,,,,,
DISCOVERY,福利费,公积金,DISCOVERY,DISCOVERY,복리후생비,공적금,DISCOVERY,89420,,,,,,,,,,,
共同,福利费,Annual Party,Office,공통,복리후생비,송년회,송년회-사무실,,,,,,,,,,,,
共同,福利费,Annual Party,Store,공통,복리후생비,송년회,송년회-매장,,,,,,,,,,,,
共同,福利费,TB,部门,공통,복리후생비,팀빌딩,팀빌딩-부서,23184,,,,,,,,,,,
共同,福利费,TB,Office,공통,복리후생비,팀빌딩,팀빌딩-사무실,,,,,,,,,,,,
共同,福利费,餐费,Admin Office Meal,공통,복리후생비,식대,간식,34655.01,,,,,,,,,,,
共同,福利费,餐费,加班餐费,공통,복리후생비,식대,야근식대,9105,,,,,,,,,,,
共同,福利费,餐费,巡店餐费,공통,복리후생비,식대,외근식대,400,,,,,,,,,,,
共同,福利费,餐费,培训餐费,공통,복리후생비,식대,교육식대,,,,,,,,,,,,
共同,福利费,餐费,管理层用餐,공통,복리후생비,식대,임원식대,16250,,,,,,,,,,,
共同,福利费,体检,,공통,복리후생비,건강검진,,,,,,,,,,,,,
共同,福利费,Birthday & Holiday,,공통,복리후생비,생일&명절,,6659,,,,,,,,,,,
共同,福利费,员工推荐,,공통,복리후생비,인력 지인추천,,,,,,,,,,,,,
共同,福利费,残保金,,공통,복리후생비,장애인고용 미달비용,,,,,,,,,,,,,
共同,福利费,周年旅游福利,,공통,복리후생비,장기근속,,187462,,,,,,,,,,,
共同,福利费,Outing,,공통,복리후생비,워크샵,,,,,,,,,,,,,
共同,福利费,KR Staff Benefits,机票福利,공통,복리후생비,주재원지원금,항공권,16600,,,,,,,,,,,
共同,福利费,KR Staff Benefits,子女教育费,공통,복리후생비,주재원지원금,자녀교육비,112987,,,,,,,,,,,
共同,福利费,KR Staff Benefits,租金，管理费,공통,복리후생비,주재원지원금,주택임차료 (관리비포함),208090,,,,,,,,,,,
共同,福利费,KR Staff Benefits,其他生活支出（水电&ADSL&phone）,공통,복리후생비,주재원지원금,"전기,수도,통신비 등",12250,,,,,,,,,,,
共同,福利费,KR Staff Benefits,锻炼费,공통,복리후생비,주재원지원금,자기개발비(훈련비),9000,,,,,,,,,,,
共同,福利费,KR Staff Benefits,体检&保险,공통,복리후생비,주재원지원금,건강검진&보험,,,,,,,,,,,,
共同,福利费,KR Staff Benefits,签证&搬迁,공통,복리후생비,주재원지원금,비자&이사비용,10938,,,,,,,,,,,
MLB,广告费,APP,,MLB,광고비,APP,,9646603.46,,,,,,,,,,,
MLB,广告费,ACC,,MLB,광고비,ACC,,,,,,,,,,,,,
MLB,广告费,Retailing,,MLB,광고비,Retailing,,2278782,,,,,,,,,,,
MLB,广告费,Branding,,MLB,광고비,Branding,,3376108,,,,,,,,,,,
MLB,广告费,CRM ,,MLB,광고비,CRM ,,,,,,,,,,,,,
MLB,广告费,Products,,MLB,광고비,Products,,244450,,,,,,,,,,,
MLB,广告费,Others Product requested,,MLB,광고비,Others Product requested,,27000,,,,,,,,,,,
KIDS,广告费,Campaign,,KIDS,광고비,Campaign,,,,,,,,,,,,,
KIDS,广告费,Retailing,,KIDS,광고비,Retailing,,80834,,,,,,,,,,,
KIDS,广告费,Branding,,KIDS,광고비,Branding,,280333,,,,,,,,,,,
KIDS,广告费,Product,,KIDS,광고비,Product,,50000,,,,,,,,,,,
DISCOVERY,广告费,CAMPAIGN,,DISCOVERY,광고비,CAMPAIGN,,1327599,,,,,,,,,,,
DISCOVERY,广告费,Branding,,DISCOVERY,광고비,Branding,,1135000,,,,,,,,,,,
DISCOVERY,广告费,Retailing,,DISCOVERY,광고비,Retailing,,123970,,,,,,,,,,,
DISCOVERY,广告费,Product,,DISCOVERY,광고비,Product,,,,,,,,,,,,,
MLB,订货会,MLB,FW,MLB,수주회,MLB,FW,,,,,,,,,,,,
MLB,订货会,MLB,SS,MLB,수주회,MLB,SS,7058868,,,,,,,,,,,
KIDS,订货会,KIDS,FW,KIDS,수주회,KIDS,FW,,,,,,,,,,,,
KIDS,订货会,KIDS,SS,KIDS,수주회,KIDS,SS,452000,,,,,,,,,,,
DISCOVERY,订货会,DISCOVERY,FW,DISCOVERY,수주회,DISCOVERY,FW,,,,,,,,,,,,
DISCOVERY,订货会,DISCOVERY,SS,DISCOVERY,수주회,DISCOVERY,SS,,,,,,,,,,,,
MLB,折旧费,MLB,固定资产折旧费,MLB,감가상각비,MLB,유형자산 감가상각비,83046.84,,,,,,,,,,,
KIDS,折旧费,KIDS,固定资产折旧费,KIDS,감가상각비,KIDS,유형자산 감가상각비,3017.02,,,,,,,,,,,
DISCOVERY,折旧费,DISCOVERY,固定资产折旧费,DISCOVERY,감가상각비,DISCOVERY,유형자산 감가상각비,6016.14,,,,,,,,,,,
MLB,折旧费,MLB,无形资产折旧费,MLB,감가상각비,MLB,무형자산 상각비,169304,,,,,,,,,,,
KIDS,折旧费,KIDS,无形资产折旧费,KIDS,감가상각비,KIDS,무형자산 상각비,,,,,,,,,,,,
DISCOVERY,折旧费,DISCOVERY,无形资产折旧费,DISCOVERY,감가상각비,DISCOVERY,무형자산 상각비,,,,,,,,,,,,
MLB,折旧费,MLB,装修折旧费,MLB,감가상각비,MLB,인테리어 상각비,126554,,,,,,,,,,,
KIDS,折旧费,KIDS,装修折旧费,KIDS,감가상각비,KIDS,인테리어 상각비,,,,,,,,,,,,
DISCOVERY,折旧费,DISCOVERY,装修折旧费,DISCOVERY,감가상각비,DISCOVERY,인테리어 상각비,,,,,,,,,,,,
共同,租金,租赁费,L3,공통,임차료,사무실임차료,3층,,,,,,,,,,,,
共同,租金,租赁费,L35,공통,임차료,사무실임차료,35층,489065,,,,,,,,,,,
共同,租金,租赁费,L35 (2024.10.15),공통,임차료,사무실임차료,35층 (2024.10.15),116282,,,,,,,,,,,
共同,租金,租赁费,L39,공통,임차료,사무실임차료,39층,607453,,,,,,,,,,,
共同,租金,租赁费,L38 (25年),공통,임차료,사무실임차료,38층(25년 신규),486809,,,,,,,,,,,
共同,租金,管理费,,공통,임차료,관리비,,211291,,,,,,,,,,,
共同,Tax,附加税,,공통,세금과공과,증치세 부가 지방세,,,,,,,,,,,,,
共同,Tax,印花税,,공통,세금과공과,인지세,,390800,,,,,,,,,,,
共同,车辆费,KIA,,공통,차량렌트비,KIA,,9208,,,,,,,,,,,
共同,车辆费,ALPHA,,공통,차량렌트비,ALPHA,,33168,,,,,,,,,,,
共同,车辆费,加油费，停车费等,,공통,차량렌트비,차량유지비,,5944.78,,,,,,,,,,,
MLB,出差费,国内差旅费,MGT,MLB,출장비,국내출장비,MGT,2863,,,,,,,,,,,
MLB,出差费,国内差旅费,Finance,MLB,출장비,국내출장비,재무,,,,,,,,,,,,
MLB,出差费,国内差旅费,Legal,MLB,출장비,국내출장비,법무,,,,,,,,,,,,
MLB,出差费,国内差旅费,Admin,MLB,출장비,국내출장비,Admin,,,,,,,,,,,,
MLB,出差费,国内差旅费,Business Operation,MLB,출장비,국내출장비,Business Operation,2497,,,,,,,,,,,
MLB,出差费,国内差旅费,Procurement,MLB,출장비,국내출장비,Procurement,2697,,,,,,,,,,,
MLB,出差费,国内差旅费,Supply Chain,MLB,출장비,국내출장비,Supply Chain,1617,,,,,,,,,,,
MLB,出差费,国内差旅费,MKT,MLB,출장비,국내출장비,마케팅,,,,,,,,,,,,
