사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
MLB,工资,Basic Salary,MLB,MLB,인건비,기본급,MLB,"39,818,929","3,311,122","3,307,038","3,538,089","3,542,985","3,548,883","3,343,543","3,342,673","3,340,896","3,144,193","3,133,749","3,129,221","3,136,537"
MLB,工资,Basic Salary,supporting,MLB,인건비,기본급,경영지원,"25,021,220","1,992,260","1,993,317","2,298,942","2,136,568","2,135,130","2,107,595","2,107,595","2,107,595","2,024,097","2,020,808","2,020,354","2,076,959"
KIDS,工资,Basic Salary,KIDS,KIDS,인건비,기본급,KIDS,"6,238,580","496,435","496,435","524,278","524,278","524,278","524,278","524,278","524,278","524,278","524,278","524,278","527,208"
DISCOVERY,工资,Basic Salary,DISCOVERY,DISCOVERY,인건비,기본급,DISCOVERY,"13,713,991","982,980","976,630","1,064,223","1,064,377","1,062,619","1,197,821","1,195,249","1,199,333","1,247,555","1,241,874","1,240,920","1,240,410"
MLB,工资,Bonus,MLB,MLB,인건비,성과급충당금,MLB,"11,151,795","966,335","966,335","975,442","975,442","975,442","927,505","927,505","927,505","877,571","877,571","877,571","877,571"
MLB,工资,Bonus,supporting,MLB,인건비,성과급충당금,경영지원,"6,709,854","576,831","576,831","569,764","569,764","569,764","562,696","562,696","562,696","539,703","539,703","539,703","539,703"
KIDS,工资,Bonus,KIDS,KIDS,인건비,성과급충당금,KIDS,"1,614,780","134,565","134,565","134,565","134,565","134,565","134,565","134,565","134,565","134,565","134,565","134,565","134,565"
DISCOVERY,工资,Bonus,DISCOVERY,DISCOVERY,인건비,성과급충당금,DISCOVERY,"3,525,470","275,559","275,559","283,506","283,506","283,506","307,224","307,224","307,224","315,170","295,664","295,664","295,664"
MLB,工资,Bonus,MLB,MLB,인건비,성과급충당금,MLB,"-2,492,189",,,"-2,492,189",,,,,,,,,
MLB,工资,Bonus,supporting,MLB,인건비,성과급충당금,경영지원,"-1,241,796",,,"-1,241,796",,,,,,,,,
KIDS,工资,Bonus,KIDS,KIDS,인건비,성과급충당금,KIDS,"-592,185",,,"-592,185",,,,,,,,,
DISCOVERY,工资,Bonus,DISCOVERY,DISCOVERY,인건비,성과급충당금,DISCOVERY,"-1,191,429",,,"-1,191,429",,,,,,,,,
MLB,工资,Red pack,MLB,MLB,인건비,Red pack,MLB,"2,970,549",,"2,970,549",,,,,,,,,,
MLB,工资,Red pack,supporting,MLB,인건비,Red pack,경영지원,"1,737,729",,"1,737,729",,,,,,,,,,
KIDS,工资,Red pack,KIDS,KIDS,인건비,Red pack,KIDS,"446,791",,"446,791",,,,,,,,,,
DISCOVERY,工资,Red pack,DISCOVERY,DISCOVERY,인건비,Red pack,DISCOVERY,"749,834",,"749,834",,,,,,,,,,
MLB,工资,"司机,清扫",MLB,MLB,인건비,잡급,MLB,"531,138","43,500","43,500","43,500","43,500","43,500","43,500","45,023","45,023","45,023","45,023","45,023","45,023"
MLB,福利费,5险,supporting,MLB,복리후생비,5대보험,경영지원,"5,487,432","458,205","458,205","458,207","458,207","458,207","438,509","482,360","482,072","448,365","448,365","448,365","448,365"
MLB,福利费,5险,MLB,MLB,복리후생비,5대보험,MLB,"8,725,119","728,554","728,554","728,558","728,558","728,558","697,237","766,961","766,503","712,909","712,909","712,909","712,909"
KIDS,福利费,5险,KIDS,KIDS,복리후생비,5대보험,KIDS,"1,527,540","121,233","121,233","121,233","121,233","121,233","121,233","133,357","133,357","133,357","133,357","133,357","133,357"
DISCOVERY,福利费,5险,DISCOVERY,DISCOVERY,복리후생비,5대보험,DISCOVERY,"2,468,608","176,464","176,464","180,946","180,946","180,946","205,420","224,617","224,617","229,547","229,547","229,547","229,547"
MLB,福利费,公积金,supporting,MLB,복리후생비,공적금,경영지원,"2,561,444","213,784","213,784","213,785","213,785","213,785","204,588","225,262","225,127","209,386","209,386","209,386","209,386"
MLB,福利费,公积金,MLB,MLB,복리후생비,공적금,MLB,"4,072,749","339,921","339,921","339,923","339,923","339,923","325,298","358,171","357,957","332,928","332,928","332,928","332,928"
KIDS,福利费,公积金,KIDS,KIDS,복리후생비,공적금,KIDS,"713,280","56,603","56,603","56,603","56,603","56,603","56,603","62,277","62,277","62,277","62,277","62,277","62,277"
DISCOVERY,福利费,公积金,DISCOVERY,DISCOVERY,복리후생비,공적금,DISCOVERY,"1,152,744","82,395","82,395","84,487","84,487","84,487","95,915","104,895","104,895","107,197","107,197","107,197","107,197"
共同,福利费,Annual Party,Office,공통,복리후생비,송년회,송년회-사무실,"1,300,000",,"1,300,000",,,,,,,,,,
