사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 ,조정,조정후 예산,,,
MLB,工资,Basic Salary,MLB,MLB,인건비,기본급,MLB,"40,091,372","2,131,684","42,223,056",,,
MLB,工资,Basic Salary,supporting,MLB,인건비,기본급,경영지원,"25,021,220",,"25,021,220",,,
KIDS,工资,Basic Salary,KIDS,KIDS,인건비,기본급,KIDS,"6,248,137","627,011","6,875,148",,,
DISCOVERY,工资,Basic Salary,DISCOVERY,DISCOVERY,인건비,기본급,DISCOVERY,"13,905,038","-2,573,435","11,331,603",,,
MLB,工资,Bonus,MLB,MLB,인건비,성과급충당금,MLB,"11,151,795",,"11,151,795",,,
MLB,工资,Bonus,supporting,MLB,인건비,성과급충당금,경영지원,"6,709,854",,"6,709,854",,,
KIDS,工资,Bonus,KIDS,KIDS,인건비,성과급충당금,KIDS,"1,614,780",,"1,614,780",,,
DISCOVERY,工资,Bonus,DISCOVERY,DISCOVERY,인건비,성과급충당금,DISCOVERY,"3,525,470",,"3,525,470",,,
MLB,工资,Bonus,MLB,MLB,인건비,성과급충당금,MLB,"-2,492,189",,"-2,492,189",,,
MLB,工资,Bonus,supporting,MLB,인건비,성과급충당금,경영지원,"-1,241,796",,"-1,241,796",,,
KIDS,工资,Bonus,KIDS,KIDS,인건비,성과급충당금,KIDS,"-592,185",,"-592,185",,,
DISCOVERY,工资,Bonus,DISCOVERY,DISCOVERY,인건비,성과급충당금,DISCOVERY,"-1,191,429",,"-1,191,429",,,
MLB,工资,Red pack,supporting,MLB,인건비,Red pack,경영지원,"1,604,865",,"1,604,865",,,
MLB,工资,Red pack,MLB,MLB,인건비,Red pack,MLB,"2,830,968",,"2,830,968",,,
KIDS,工资,Red pack,KIDS,KIDS,인건비,Red pack,KIDS,"437,234",,"437,234",,,
DISCOVERY,工资,Red pack,DISCOVERY,DISCOVERY,인건비,Red pack,DISCOVERY,"558,788",,"558,788",,,
MLB,工资,"司机,清扫",MLB,MLB,인건비,잡급,MLB,"531,138",,"531,138",,,
MLB,福利费,5险,supporting,MLB,복리후생비,5대보험,경영지원,"5,487,432","-1,281,549","4,205,883",,,
MLB,福利费,5险,MLB,MLB,복리후생비,5대보험,MLB,"8,725,119",,"8,725,119",,,
KIDS,福利费,5险,KIDS,KIDS,복리후생비,5대보험,KIDS,"1,527,540",,"1,527,540",,,
DISCOVERY,福利费,5险,DISCOVERY,DISCOVERY,복리후생비,5대보험,DISCOVERY,"2,468,608",,"2,468,608",,,
MLB,福利费,公积金,supporting,MLB,복리후생비,공적금,경영지원,"2,561,444",,"2,561,444",,,
MLB,福利费,公积金,MLB,MLB,복리후생비,공적금,MLB,"4,072,749",,"4,072,749",,,
KIDS,福利费,公积金,KIDS,KIDS,복리후생비,공적금,KIDS,"713,280",,"713,280",,,
DISCOVERY,福利费,公积金,DISCOVERY,DISCOVERY,복리후생비,공적금,DISCOVERY,"1,152,744",,"1,152,744",,,
共同,福利费,Annual Party,Office,공통,복리후생비,송년회,송년회-사무실,"1,399,999","-103,385","1,296,614",,,
共同,福利费,Annual Party,Store,공통,복리후생비,송년회,송년회-매장,"300,000",0,"300,000",,,
共同,福利费,TB,部门,공통,복리후생비,팀빌딩,팀빌딩-부서,"272,136","-82,875","189,261",,,
共同,福利费,TB,Office,공통,복리후생비,팀빌딩,팀빌딩-사무실,"72,000",0,"72,000",,,
共同,福利费,餐费,Admin Office Meal,공통,복리후생비,식대,간식,"579,564",0,"579,564",,,
共同,福利费,餐费,加班餐费,공통,복리후생비,식대,야근식대,"110,908","38,181","149,089",,,
共同,福利费,餐费,巡店餐费,공통,복리후생비,식대,외근식대,"4,800",0,"4,800",,,
共同,福利费,餐费,培训餐费,공통,복리후생비,식대,교육식대,"14,160",0,"14,160",,,
共同,福利费,餐费,管理层用餐,공통,복리후생비,식대,임원식대,"195,000",0,"195,000",,,
共同,福利费,体检,,공통,복리후생비,건강검진,,"432,000",,"432,000",,,
